0, Guangzhou
1, Shenzhen
2, Zhuhai
3, Shantou
4, Foshan
5, Shaoguan
6, Heyuan
7, Meizhou
8, Huizhou
9, Shanwei
10, Dongguan
11, Zhongshan
12, Jiangmen
13, Yangjiang
14, Zhanjiang
15, Maoming
16, Zhaoqing
17, Qingyuan
18, Chaozhou
19, Jieyang
20, Yunfu
